1|feels like I'm at a house party in 2009|766
1|Movie party fun with Mark at Susie's cheers :) (@ Somerset, NJ) http://t.co/UZ13YVJNUx|245
1|@yiezus no one even plays Hecarim anymore. pool party lee sin is where it's at|104
1|WHOS DOWN TO GO TO THE POOL AT 430AM ?? @ POOL PARTY http://t.co/lZx6cw9yq2|474
1|just got a text asking if I can hook up with the person the next time we go to a party??? ppl really think I'm this crazy girl wth|349
1|Playing this at a party this week 👌 fuckin banger 😎 @DVBBS @motiofficial http://t.co/YYbMdacZty|433
1|@amiramonae_ whatchu do party so far? Lol|2483
1|Blood Moon Party! @catalinanyny #bloodmoon #tuesdaynight #LIC @ Long Island City Piers http://t.co/0VUzPtDHnF|517
1|This Saturday April 19th! Calling all islands and nations! Join us for Flag Party @ Simplicity Wine… http://t.co/dJEmjpaRdR|2009
1|"Jenny Bapst ""Allez"" album release party. Good spot. Good music. Good peoples. Congrats sista !… http://t.co/Mk7oR5of0Q"|2713
1|DANCE PARTY AT MY PLACE HMU|149
1|@EliKayOliphant The Freedom Party Nyc with @questlove at B.B. King Blues Club and Grill (April 25, 2014): New ... http://t.co/blWrgD4dJI|1061
1|@MysterylandUSA does the other campsite (lander river campsite) get to attend the Friday party I hope so lol|67
1|@iAmCakeN_Bitch aww men so you going to miss my 25th birthday party|170
1|“@FAAMMoverALL: @teamlucyheaux I thought it was house party” na lol|12369
1|THAT ME AND MY LIL SISTER .... #DANCE #PARTY AND #BULLSHIT @ ANY WHERE WE AT! http://t.co/7URM92Bg1Q|90
1|Baby you can crash my party any time|242
1|the magcon pre party was worse than magcon general admission tbh|1506
1|"THE AFTER PARTY @ MY CRIB
FREE LIQUOR AGAIN YOU KNOW ME http://t.co/FfMYtLScF2"|2232
1|I dressed like I'm going to a slumber party. There's butterflies on my auth. slims. I swear I'm not six.|138
1|Wedding party animals. Guess who's wedding?  #ThereIsonly1SarahWilliamson #nyc #pratthouse… http://t.co/da1G10HN0N|152
1|@Jesse_Longg happy birthday little guy. Sorry I couldn't make it to your party|182
1|Ten minutes until 7:50 who wants to have a party in the apa junior hallway|454
1|@Materialboy1511 double denim??? Only for a theme party lmao|1100
1|@ERN_ning_money happy birthday Erin!! Have a great day party it up love you!🎉😘💜|363
1|This guy's like the friend who hangs around way way too long after the party. #sadchristmastree #almostmadeittoeaster http://t.co/pTM5jk4ZQn|234
1|“@countrysayingss: Let's get this thing started, it's my kind of party. #JasonAldean”|383
1|@Materialboy1511 unless it's another camo party...because I looked good in a tight camo uniform ;-)|1100
1|Why can't I just go to the gym, be involved in the clubs that I enjoy, party and maybe take a class or two ? Why can't that be college ?|504
1|"#YouAndIFollowParty 

😱Follow me
😱I Fback just ask me
😱let's all join the party #fandoms
😱rt this if you're thirsty xx

#YouAndIFollowParty"|4308
1|Call Occasions Entertainment for your next Party or Event! http://t.co/O4ARjcxsxt|3
1|@Q102Philly call Occasions Entertainment for your next Party or Event. http://t.co/wymohXsDkM|3
1|@Bellevue_Philly call Occasions Entertainment for Your next Party or Event. http://t.co/sPWt2Z6vxH|3
1|@ProjectWedding call Occasions Entertainment for your Next Party or Event Make your Wedding Special! http://t.co/8FlxPQ7Nyy|3
1|"I'll be hosting a party this Friday night 5-9 pm at |  311 W.34th St. NY, NY  #crossequalslove @… http://t.co/g1LlbOCb9R"|1060
1|"I'll be hosting a party this Friday night 5-9 pm at |  311 W.34th St. NY, NY  #crossequalslove @… http://t.co/LWoTgTOnyR"|1060
1|@Pornhub I think the only way to properly celebrate your birthday is to have a porn party|373
1|Hey @IBFinchy ! Great to meet Jennie at @CBSGolf party last Friday. Mo &amp; I looking forward to seeing you @Zurich_Classic next week in NOLA.|502
1|🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱Flyers coming soon for the party may 3rd at Plazma, 28 Ives street Danbury CT #BirthdayBanger #Retweet 🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱|576
1|Who wants to skip class and have a cuddle party?! 💁|1459
1|Google image results are like a party that starts off exactly how you expected and gets weirder the longer you stay.|131
1|@mr_aly @antholilmonster always kicks it up a notch doesn't it? Let's party lol|1100
1|"""and tell her you tryna go to a party with drugs""💀💀"|1263
1|“@XSTROLOGY: #Pisces come off as shy, but that all ends once the party starts.” 🙋🙋🙋|307
1|NYC Pool Party 👙 for 10 ppl, champagne and snacks are included $125 only 👉👉https://t.co/62vsYJ1zLm|66
1|The Crate Record Store Grand Opening Party this Saturday. Live music from #Apspdr+ #SilentRider and… http://t.co/OA0YLZDrfl|1468
1|Niggas smoke, drink, party &amp; die on the same corner round hea 🙇|535
1|@MegLap37 @AmandaEstellla I read it as her boyfriends party haha way funnier|318
1|Happy birthday my luv🎈 Cnt wait to 2 see ya l8r and party @alexa_winklex3|448
1|Baby welcome too!!!! Welcome to the party!!!|586
1|Dear @ShayMooney can you please sing party girl to me? It's my favorite song|187
1|Party like its $19.99|166
1|@UM_Lacrosse_40 I'm home this weekend Bc it's easter and I have a birthday party in Friday|345
1|Where's this yacht party information? 😳|836
1|We getting it in and a after party beening tout together too from 2 am till 6 am. Stay tune ! http://t.co/60tJRz4F56|17
1|"My ""Annoy bones every day until she comes to my birthday party"" mission is now in full effect"|314
1|@yesLIVcan @KTownLilKimFan that would be awesome! No one ever did that b4... world wide internet release party!|565
1|@taylordaddona1 thanks bitchh love you can't wait to get party :))|330
1|Saw Cinderella in a party dress she was looking for a night gown|186
1|I just want to party already 😭|833
1|The Dark Crystal Themed Cocktails and Party Before Cult Classic Night at Avon Theatre- Stamford, CT http://t.co/ShuZITyAt0|4085
1|The funny thing is I don't even party but I'm turnin up somehow someway somewhereeee|362
1|Joe makinn me party tn😩😒|753
1|@aintlifeswells My son thinks they are hiding for a surprise party. He doesn't get it at all. It frightens me. No sense of danger.|1087
1|Think ima have a painting party|91
1|"Stay on deck with me as I DJ your Party-Event LIVE@ Your SPOT!
FOR ALL BOOKINGS:
http://t.co/jJmSizdiqS 
Email at 
THEREALDJSERIES@GMAIL.COM"|1118
1|Well the party that couldn't happen yesterday made it on the news this morning 😅|308
1|Dance party for one in my room! 💃💜 #makesmehappy|52
1|“@PrinceJaz1: How girls go to the bathroom at a party 😂😂😂 http://t.co/1hHXuT1v5N” lmfaooo word|232
1|"This Saturday @gioclubenvynj 🎨 Glow In The Dark Body Paint Party 🎨 | Music By 105.1FM djflipstar &amp;… http://t.co/gRZpLa9die"|25
1|"This Saturday @gioclubenvynj 🎨 Glow In The Dark Body Paint Party 🎨 | Music By 105.1FM djflipstar &amp;… http://t.co/mPotYkxAJa"|25
1|@Nasaveli_ my sister comes to my room and tells me the news was talking about a party that was supposed to occur in Sayreville nj last night|309
1|@sunnyday12221 That's true but look at all those who've already become engaged, eg our tea party patriots.|1829
